tweets,sentiment
"@senatemajldr 👿👹☠️~🖕ya'll from🇺🇸🗽 
BIG VICTORY for the Nation in November when we can drag him out of the WH and ki… https://t.co/pW76JZJcSQ",negative
RT @shannonrwatts: Rebekah Jones was fired last month from her job at the Florida Department of Health - where she helped create a data por…,neutral
"RT @LaChiquisYareli: Estarías de acuerdo que se recorten 200 diputados, 32 senadores plurinominales y el 50% de su inflado presupuesto al @…",neutral
"RT @JoshKovensky: Scoop: The Trump admin is ending support for 7 testing sites in Texas at the end of this month, as it shuts down support…",negative
"RT @wudanyan: lol shocker, freelancers are not counted. 

https://t.co/wV4iYjCFIY",positive
"RT @quincy_hicks: Please wear a mask outside, Covid cases are rising again. Black Lives Matter. Find Vanessa Guillen. Don’t vote for Tr*mp.…",negative
RT @JustLakThat: Phase 4 is literally the “We’re actually going to ignore COVID-19 from this point on” phase,neutral
RT @MetsFanAlex: Who woulda thought by the end of June that New York would be one of the safest places to be from COVID,positive
"There’s that stupid hand movement again. How can this idiot not know, what the 19 stands for???? Oh yea, he listens… https://t.co/2coqPUoplx",negative
"RT @Acyn: The President uses the term “Kung Flu” again and says “COVID, COVID-19, COVID, I said what’s the 19. COVID-19, some people can’t…",neutral
RT @Bradooooooooooo: Niggas announcing they got Covid on this hoe like Magic announced he had AIDS in '91.,positive
@AnnCoulter Umm- who started this trash crap? Not Trumpers! Marxist! BLM—-not protester- criminals. Can’t have it b… https://t.co/6Tqyuc4JDm,negative
RT @curamcareuk: We know that this is a worrying time for families looking after someone with dementia. There are things you can do to look…,neutral
"RT @DemWrite: 🇺🇸 5% of Earth’s population.
🇺🇸 25% of #COVID deaths.

If we had a real president, it would be different. #TrumpKillsUS. We #…",positive
"Who is ICMR ? I have my own test lab, own steps to make medicine and own result accuracy. I dont need to ask anyone… https://t.co/VwACW0suZo",positive
RT @realDonaldTrump: Cases up only because of our big number testing. Mortality rate way down!!!,negative
"RT @AngrierWHStaff: Good news: we’re unlikely to see a second wave of COVID anytime soon

Bad news: that’s because we mismanaged the first…",negative
"RT @Mario_PinPan: COMANDANTE A LA ESPERA‼️
Mario Salas y su cuerpo técnico ya fue sometido a las pruebas de descarte por COVID-19. El CT se…",neutral
"RT @l_moralss: FOR MY PEOPLE WITH COVID :
* retweet to save lives* https://t.co/ypr3SZjs6G",neutral
"RT @AndrewYang: Trump calling COVID-19 the “Kung Flu” is stupid, racist and part of the reason he is losing this election in increasingly h…",negative
"RT @quincy_hicks: Please wear a mask outside, Covid cases are rising again. Black Lives Matter. Find Vanessa Guillen. Don’t vote for Tr*mp.…",negative
RT @colonelhogans: Warning...I’m going to yell.... VICTORIAS INCREASE IN COVID CASES IS BECAUSE PEOPLE MEANT TO SELF ISOLATE WERE NOT!!!! 1…,neutral
"RT @KhairulAbror1: Malaysians, teruskan pakai mask waktu keluar ke tempat orang ramai, bawa hand sanitizers.

Kalau kita terus abai dan tak…",neutral
"RT @thebeautifulprj: Today, we are launching a new campaign that explores the experiences of Black Women in North Carolina during the COVID…",negative
"Loans worth Rs 75,426.39 crore to 17.02 lakh applicants already sanctioned till 18 June 2020 under the 100% Emergen… https://t.co/AqaAvmU54k",positive
"RT @quincy_hicks: Please wear a mask outside, Covid cases are rising again. Black Lives Matter. Find Vanessa Guillen. Don’t vote for Tr*mp.…",negative
RT @hirayel: the audacity of gwen garcia to shame doctors when her face is a product of surgeries,neutral
"The concern and scrutiny will be on the numbers two weeks from now, after those testing positive have interacted wi… https://t.co/hSvX7JIM6X",positive
@DrewHolden360 Non whites at higher risk from COVID. https://t.co/7qlMXp8dgz,positive
@coniscs Jajajajs data pegando fuerte el covid he 😂😂,neutral
RT @CamachoEmilio: Irlanda declara públicos a todos los hospitales privados durante la pandemia por coronavirus https://t.co/PLJ9MZtWPr,neutral
@Qanon2000 @dvillella @realDonaldTrump I was just being pissy. We all should wear masks. Not because we are scared… https://t.co/ukKPt91VZo,neutral
"RT @kenolin1: For everyone at Trump’s COVID Cluster F*ck in Phoenix today, if you contract the disease be sure to get in touch with these d…",positive
"RT @quincy_hicks: Please wear a mask outside, Covid cases are rising again. Black Lives Matter. Find Vanessa Guillen. Don’t vote for Tr*mp.…",negative
RT @EstulinDaniel: Lo que están diciendo ahra cada vez más lo he dicho yo primero. Cambio hscia sexto tecno paradigma https://t.co/uoX8JbiQ…,neutral
"RT @AndrewYang: Trump calling COVID-19 the “Kung Flu” is stupid, racist and part of the reason he is losing this election in increasingly h…",negative
RT @_hublette: That's because the new positive tests are antibody tests...,positive
RT @CarolinMatthie: Vlog #603 - Bußgeld in Berlin?!// Lockdown in NRW... Fingierte 2. Welle?! 🤔 https://t.co/tPBUjdDMdY via @YouTube,neutral
"RT @thesinjinpineda: TUOB is NOT a CURE for COVID. Sharing is caring. Please retweet. Infographics were prepared by Dr. Elise Catalan, a Ce…",neutral
"Pra covid, quem não se previne paga com a vida",neutral
"RT @chileconvoca: En resumen The Washington Post destroza al gob de Piñera por triunfalista, exitista, por celebrar antes de tiempo, por no…",neutral
Quiero mi vida sin covid YA🥺,neutral
"RT @goregremlin: now how you can help, i cannot attend bc my mom got sick and we arent sure if its covid yet, but there will be something h…",negative
RT @KristenKfromGA: The fact that people are cheering this on is incredibly disheartening. When did we become this?,positive
"RT @ecuavisa: En menos de un mes con semáforo amarillo, #Cuenca registra un #repunte de casos de #COVID-19. Con cerca de 1.400 #contagios,…",neutral
RT @nuenaymikaela: how my life was before covid happened: https://t.co/YpnMHqabZL,neutral
RT @JustLakThat: Phase 4 is literally the “We’re actually going to ignore COVID-19 from this point on” phase,neutral
RT @lacevans: Only happiness can come from this EXEMPTION. W/ self paid Covid tests and quarantines it is possible ❤️  PLEASE hear us. Plea…,positive
RT @SilumanRi: ini pandemi yang mampak.jika covid 19 butuh laboratorium untuk detection akan tetapi virus bodoh tidak perlu laborat cukup d…,neutral
"RT @chipfranklin: @robreiner @TeaPainUSA With McConnell and Graham cock-blocking justice, we have but one option; vote them out by such ove…",neutral
RT @jaketapper: It was discovered in 2019.,neutral
"RT @trumpsatwit: @RepDougCollins But it's ok to have a sexual predator in the WH who's lied daily about the COVID-19 VIRUS. 123,155 America…",positive
"RT @mcspocky: BREAKING: Feds ending support for virus testing in Texas &amp; 4 other states

The tRump administration is ending funding &amp; suppo…",negative
"RT @Akild_: I just want my $350K reparations + 2nd Covid check. 

And forgive all my loans.",neutral
RT @esmerrrrrrr11: LOOK AT THE VALLEY %,neutral
"RT @ResisterDot: Trump's 'Kung flu' slur, pervasive scapegoating recall a brutal decades-old hate crime https://t.co/lGy74REl3h",negative
"RT @SorayaYanine77: Funciones Alcalde: Conservar el orden público en la ciudad, el alcalde o alcaldesa es la primera autoridad de policía d…",neutral
RT @KelyBarrelin: A quem vc atribuí o número de óbitos pelo covid?,neutral
"RT @Scottcrates: Today In Arizona... 

- Largest number of new Covid cases 

- The most new hospitalizations due to Covid

- The most peopl…",positive
"RT @SteveSchmidtSES: Below you can watch the demented and unhinged ramblings of an imbecil. Clearly, he is falling apart. He is addled. The…",negative
"RT @DemWrite: 🇺🇸 5% of Earth’s population.
🇺🇸 25% of #COVID deaths.

If we had a real president, it would be different. #TrumpKillsUS. We #…",positive
RT @Carlos4PF: My Uncle Gustavo opened a chicken restaurant and because of Covid-19 he is about to lose all his assets. Could you please re…,negative
I hate to see Laker fans coming at Avery Bradley at the end of the day its his decision and you can only respect it… https://t.co/rAMPHo5yjb,negative
Descobri aqui que é por causa da covid.... vírus maldito...,neutral
"RT @babi: 100 dias sem sentar num buteco com meus amigos
Covid eu te odeio",neutral
"RT @ddale8: Trump: ""People went to the polls and voted during World War I. They went to the polls and voted during World War II. We can saf…",neutral
"RT @MbcTokyo: 武道・武術を教える立場の方へ。
オーストラリアのマーシャルアーツ協会が、道場での感染を防ぐためのオンラインセミナーを無料でやっています。英語ですが、参考になるかと。

https://t.co/lNHhvvLtdt",neutral
"RT @GovInslee: We cannot let COVID-19 spread like it is right now in Washington.

So today, we’re mandating facial coverings statewide. htt…",positive
RT @sjg_3: God please take COVID away,neutral
"RT @tedlieu: Asian Americans now make up 11% of the electorate in NV, 5.5% in TX and 4.7% in GA. So go ahead @realDonaldTrump and keep sayi…",neutral
RT @ovaedna: TESTED POSITIVE FOR COVID-19. I WORK AT SALTGRASS STEAKHOUSE; AVOID DINING IN OR ORDERING TO GO. STAY SAFE EVERYONE.,positive
"RT @DemWrite: 🇺🇸 5% of Earth’s population.
🇺🇸 25% of #COVID deaths.

If we had a real president, it would be different. #TrumpKillsUS. We #…",positive
RT @MollyJongFast: Who could have seen this coming? Oh I know. All of us.,neutral
"RT @SenSanders: The pandemic surges, people die, and Trump continues to ignore reality. Let us save lives by using the Defense Production A…",neutral
"RT @CalmateElvira: Ciudades del conurbano bonaerense con más infectados por covid : La Matanza, Quilmes, Avellaneda y Lomas de Zamora.  Gra…",neutral
RT @melissadderosa: Who is going to tell him that neither of the world wars were contagious?,neutral
"RT @pastpunditry: Notably, the audience was shouting it out *before* Trump said it, urging him on. They know what they want, he knows what…",positive
"RT @ProjectLincoln: Just some casual racism at a church to get the mood going.

cc: @dreamcitychurch",negative
RT @USVisaTokyo: 2020年6月22日に発表された、特定の就労ビザの発給を一時停止する大統領令について、よくある質問のリストをまとめました。下記のスレッドをクリックすると、よくある質問とその回答をご覧いただけます⬇️ 大統領令の詳細は国務省のウェブサイトをご覧く…,neutral
RT @SomirrM: Ante el aumento de casos de covid-19 en nuestro Estado exigimos a las autoridades competentes en proporcionar equipos básico d…,neutral
If someone throws a reggaeton party with all the classics im in there. But after COVID is over and there’s a cure o… https://t.co/mQehdvuM7a,neutral
RT @globalnews: New on YouTube:  Coronavirus: Ontario reports its first child death from COVID-19 https://t.co/lbAKna9ofW,positive
"RT @rishibagree: As per a CMIE Report, 

after touching 23.5% in April &amp; May, the unemployment rate first dropped to 17.5% in the first wee…",positive
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
